PRODUCT_NAME,DESCRIPTION,URL,PAGE_NO,tokenized_product_name,tokenized_description,TOKENIZED_PRODUCT_NAME,TOKENIZED_DESCRIPTION
swift-create-xcframework,"Creates XCFramework bundles for the products in your Swift Package and uploads them as Artifacts you can attach to a
release",https://github.com/marketplace/actions/swift-create-xcframework,7,['swift-create-xcframework'],"['creates', 'xcframework', 'bundles', 'products', 'swift', 'package', 'uploads', 'artifacts', 'attach', 'release']",['swift-create-xcframework'],"['creates', 'xcframework', 'bundles', 'products', 'swift', 'package', 'uploads', 'artifacts', 'attach', 'release']"
Deploy to Firebase Hosting,A GitHub Action to deploy to Firebase Hosting,https://github.com/marketplace/actions/deploy-to-firebase-hosting,7,"['deploy', 'firebase', 'hosting']","['github', 'action', 'deploy', 'firebase', 'hosting']","['deploy', 'firebase', 'hosting']","['github', 'action', 'deploy', 'firebase', 'hosting']"
Deploy GitHub Pages site,A GitHub Action to deploy an artifact as a GitHub Pages site,https://github.com/marketplace/actions/deploy-github-pages-site,7,"['deploy', 'github', 'pages', 'site']","['github', 'action', 'deploy', 'artifact', 'github', 'pages', 'site']","['deploy', 'github', 'pages', 'site']","['github', 'action', 'deploy', 'artifact', 'github', 'pages', 'site']"
Run on architecture,"Run commands in a Linux container with a specific CPU architecture (armv6, armv7, aarch64, s390x, ppc64le)",https://github.com/marketplace/actions/run-on-architecture,7,"['run', 'architecture']","['run', 'commands', 'linux', 'container', 'specific', 'cpu', 'architecture', 'armv6', 'armv7', 'aarch64', 's390x', 'ppc64le']","['run', 'architecture']","['run', 'commands', 'linux', 'container', 'specific', 'cpu', 'architecture', 'armv6', 'armv7', 'aarch64', 's390x', 'ppc64le']"
"Twitter, together!","Collaborate on tweets just like you collaborate on code, using pull requests",https://github.com/marketplace/actions/twitter-together,7,"['twitter', 'together']","['collaborate', 'tweets', 'like', 'collaborate', 'code', 'using', 'pull', 'requests']","['twitter', 'together']","['collaborate', 'tweets', 'like', 'collaborate', 'code', 'using', 'pull', 'requests']"
Automatic Rebase,Automatically rebases PR on /rebase comment,https://github.com/marketplace/actions/automatic-rebase,7,"['automatic', 'rebase']","['automatically', 'rebases', 'pr', 'rebase', 'comment']","['automatic', 'rebase']","['automatically', 'rebases', 'pr', 'rebase', 'comment']"
Gradle Build Action,"Configures Gradle for GitHub actions, caching state and generating a dependency graph via Dependency Submission",https://github.com/marketplace/actions/gradle-build-action,7,"['gradle', 'build', 'action']","['configures', 'gradle', 'github', 'actions', 'caching', 'state', 'generating', 'dependency', 'graph', 'via', 'dependency', 'submission']","['gradle', 'build', 'action']","['configures', 'gradle', 'github', 'actions', 'caching', 'state', 'generating', 'dependency', 'graph', 'via', 'dependency', 'submission']"
Flank,Run Flank from Github actions,https://github.com/marketplace/actions/flank,7,['flank'],"['run', 'flank', 'github', 'actions']",['flank'],"['run', 'flank', 'github', 'actions']"
Slash Command Dispatch,Facilitates ChatOps by creating dispatch events for slash commands,https://github.com/marketplace/actions/slash-command-dispatch,9,"['slash', 'command', 'dispatch']","['facilitates', 'chatops', 'creating', 'dispatch', 'events', 'slash', 'commands']","['slash', 'command', 'dispatch']","['facilitates', 'chatops', 'creating', 'dispatch', 'events', 'slash', 'commands']"
compressed-size-action,Get compressed size differences for every PR,https://github.com/marketplace/actions/compressed-size-action,9,['compressed-size-action'],"['get', 'compressed', 'size', 'differences', 'every', 'pr']",['compressed-size-action'],"['get', 'compressed', 'size', 'differences', 'every', 'pr']"
Install Poetry Action,Installs and configures Poetry,https://github.com/marketplace/actions/install-poetry-action,9,"['install', 'poetry', 'action']","['installs', 'configures', 'poetry']","['install', 'poetry', 'action']","['installs', 'configures', 'poetry']"
SonarQube Cloud Scan,Scan your code with SonarQube Cloud to detect coding issues in 30+ languages. (Formerly SonarCloud),https://github.com/marketplace/actions/sonarqube-cloud-scan,9,"['sonarqube', 'cloud', 'scan']","['scan', 'code', 'sonarqube', 'cloud', 'detect', 'coding', 'issues', '30', 'languages', 'formerly', 'sonarcloud']","['sonarqube', 'cloud', 'scan']","['scan', 'code', 'sonarqube', 'cloud', 'detect', 'coding', 'issues', '30', 'languages', 'formerly', 'sonarcloud']"
KiBot GitHub action,"automatically generates documentation, fabrication, etc. files for any KiCad project",https://github.com/marketplace/actions/kibot-github-action,9,"['kibot', 'github', 'action']","['automatically', 'generates', 'documentation', 'fabrication', 'etc', 'files', 'kicad', 'project']","['kibot', 'github', 'action']","['automatically', 'generates', 'documentation', 'fabrication', 'etc', 'files', 'kicad', 'project']"
action-slack,You can notify slack of GitHub Actions,https://github.com/marketplace/actions/action-slack,9,['action-slack'],"['notify', 'slack', 'github', 'actions']",['action-slack'],"['notify', 'slack', 'github', 'actions']"
rust-toolchain,Install the Rust toolchain,https://github.com/marketplace/actions/rust-toolchain,9,['rust-toolchain'],"['install', 'rust', 'toolchain']",['rust-toolchain'],"['install', 'rust', 'toolchain']"
Lint Action,GitHub Action for detecting and fixing linting errors,https://github.com/marketplace/actions/lint-action,9,"['lint', 'action']","['github', 'action', 'detecting', 'fixing', 'linting', 'errors']","['lint', 'action']","['github', 'action', 'detecting', 'fixing', 'linting', 'errors']"
Helm Chart Releaser,Host a Helm charts repo on GitHub Pages,https://github.com/marketplace/actions/helm-chart-releaser,9,"['helm', 'chart', 'releaser']","['host', 'helm', 'charts', 'repo', 'github', 'pages']","['helm', 'chart', 'releaser']","['host', 'helm', 'charts', 'repo', 'github', 'pages']"
Install SSH Key,Install SSH key in ~/.ssh,https://github.com/marketplace/actions/install-ssh-key,9,"['install', 'ssh', 'key']","['install', 'ssh', 'key', 'ssh']","['install', 'ssh', 'key']","['install', 'ssh', 'key', 'ssh']"
Add To GitHub projects,Automatically add issues and PRs to GitHub projects,https://github.com/marketplace/actions/add-to-github-projects,9,"['add', 'github', 'projects']","['automatically', 'add', 'issues', 'prs', 'github', 'projects']","['add', 'github', 'projects']","['automatically', 'add', 'issues', 'prs', 'github', 'projects']"
Action For Semantic Release,GitHub Action for Semantic Release,https://github.com/marketplace/actions/action-for-semantic-release,9,"['action', 'semantic', 'release']","['github', 'action', 'semantic', 'release']","['action', 'semantic', 'release']","['github', 'action', 'semantic', 'release']"
Pull request summarizer,"Write a comment about every commit in a pull request, every file diff, and summarize PR",https://github.com/marketplace/actions/pull-request-summarizer,9,"['pull', 'request', 'summarizer']","['write', 'comment', 'every', 'commit', 'pull', 'request', 'every', 'file', 'diff', 'summarize', 'pr']","['pull', 'request', 'summarizer']","['write', 'comment', 'every', 'commit', 'pull', 'request', 'every', 'file', 'diff', 'summarize', 'pr']"
ChatGPT Integration,This action integrates ChatGPT into your CI,https://github.com/marketplace/actions/chatgpt-integration,9,"['chatgpt', 'integration']","['action', 'integrates', 'chatgpt', 'ci']","['chatgpt', 'integration']","['action', 'integrates', 'chatgpt', 'ci']"
WordPress Plugin Deploy,Deploy to the WordPress Plugin Repository,https://github.com/marketplace/actions/wordpress-plugin-deploy,9,"['wordpress', 'plugin', 'deploy']","['deploy', 'wordpress', 'plugin', 'repository']","['wordpress', 'plugin', 'deploy']","['deploy', 'wordpress', 'plugin', 'repository']"
Install Nix,Installs Nix on GitHub Actions for the supported platforms: Linux and macOS,https://github.com/marketplace/actions/install-nix,9,"['install', 'nix']","['installs', 'nix', 'github', 'actions', 'supported', 'platforms', 'linux', 'macos']","['install', 'nix']","['installs', 'nix', 'github', 'actions', 'supported', 'platforms', 'linux', 'macos']"
GitHub App token,Run a GitHub Action as a GitHub App instead of using secrets.GITHUB_TOKEN or a personal access token,https://github.com/marketplace/actions/github-app-token,9,"['github', 'app', 'token']","['run', 'github', 'action', 'github', 'app', 'instead', 'using', 'secrets.github_token', 'personal', 'access', 'token']","['github', 'app', 'token']","['run', 'github', 'action', 'github', 'app', 'instead', 'using', 'secrets.github_token', 'personal', 'access', 'token']"
Snyk,Check your applications for vulnerabilties using Snyk,https://github.com/marketplace/actions/snyk,9,['snyk'],"['check', 'applications', 'vulnerabilties', 'using', 'snyk']",['snyk'],"['check', 'applications', 'vulnerabilties', 'using', 'snyk']"
Godot Export,Automatically exports your Godot games,https://github.com/marketplace/actions/godot-export,9,"['godot', 'export']","['automatically', 'exports', 'godot', 'games']","['godot', 'export']","['automatically', 'exports', 'godot', 'games']"
Generate & update markdown content,Automatically generate update markdown content like a README.md,https://github.com/marketplace/actions/generate-update-markdown-content,9,"['generate', 'update', 'markdown', 'content']","['automatically', 'generate', 'update', 'markdown', 'content', 'like', 'readme.md']","['generate', 'update', 'markdown', 'content']","['automatically', 'generate', 'update', 'markdown', 'content', 'like', 'readme.md']"
Push directory to another repository,"Useful to push files to another repository to be used, for example, via github pages",https://github.com/marketplace/actions/push-directory-to-another-repository,11,"['push', 'directory', 'another', 'repository']","['useful', 'push', 'files', 'another', 'repository', 'used', 'example', 'via', 'github', 'pages']","['push', 'directory', 'another', 'repository']","['useful', 'push', 'files', 'another', 'repository', 'used', 'example', 'via', 'github', 'pages']"
Manual Workflow Approval,Pause a workflow and get user approval to continue,https://github.com/marketplace/actions/manual-workflow-approval,11,"['manual', 'workflow', 'approval']","['pause', 'workflow', 'get', 'user', 'approval', 'continue']","['manual', 'workflow', 'approval']","['pause', 'workflow', 'get', 'user', 'approval', 'continue']"
HashiCorp Vault,A Github Action that allows you to consume HashiCorp Vault™ secrets as secure environment variables,https://github.com/marketplace/actions/hashicorp-vault,11,"['hashicorp', 'vault']","['github', 'action', 'allows', 'consume', 'hashicorp', 'vault™', 'secrets', 'secure', 'environment', 'variables']","['hashicorp', 'vault']","['github', 'action', 'allows', 'consume', 'hashicorp', 'vault™', 'secrets', 'secure', 'environment', 'variables']"
size-limit-action,size-limit action,https://github.com/marketplace/actions/size-limit-action,11,['size-limit-action'],"['size-limit', 'action']",['size-limit-action'],"['size-limit', 'action']"
Conform Action,Policy enforcement for your pipelines,https://github.com/marketplace/actions/conform-action,11,"['conform', 'action']","['policy', 'enforcement', 'pipelines']","['conform', 'action']","['policy', 'enforcement', 'pipelines']"
Sentry Release,GitHub Action for creating a release on Sentry,https://github.com/marketplace/actions/sentry-release,11,"['sentry', 'release']","['github', 'action', 'creating', 'release', 'sentry']","['sentry', 'release']","['github', 'action', 'creating', 'release', 'sentry']"
Retry Step,Retry a step on failure or timeout,https://github.com/marketplace/actions/retry-step,11,"['retry', 'step']","['retry', 'step', 'failure', 'timeout']","['retry', 'step']","['retry', 'step', 'failure', 'timeout']"
Create GitHub App Token,GitHub Action for creating a GitHub App installation access token,https://github.com/marketplace/actions/create-github-app-token,11,"['create', 'github', 'app', 'token']","['github', 'action', 'creating', 'github', 'app', 'installation', 'access', 'token']","['create', 'github', 'app', 'token']","['github', 'action', 'creating', 'github', 'app', 'installation', 'access', 'token']"
Python Poetry Action,An action to run https://github.com/python-poetry/poetry,https://github.com/marketplace/actions/python-poetry-action,11,"['python', 'poetry', 'action']","['action', 'run', 'https', 'github.com/python-poetry/poetry']","['python', 'poetry', 'action']","['action', 'run', 'https', 'github.com/python-poetry/poetry']"
Maester Action,Monitor your Microsoft 365 tenant s security configuration using Maester THE PowerShell-based test automation framework,https://github.com/marketplace/actions/maester-action,11,"['maester', 'action']","['monitor', 'microsoft', '365', 'tenant', 'security', 'configuration', 'using', 'maester', 'powershell-based', 'test', 'automation', 'framework']","['maester', 'action']","['monitor', 'microsoft', '365', 'tenant', 'security', 'configuration', 'using', 'maester', 'powershell-based', 'test', 'automation', 'framework']"
Comment Run Actions,Execute any script in a GitHub issue comment,https://github.com/marketplace/actions/comment-run-actions,11,"['comment', 'run', 'actions']","['execute', 'script', 'github', 'issue', 'comment']","['comment', 'run', 'actions']","['execute', 'script', 'github', 'issue', 'comment']"
issue-metrics,A GitHub Action to report out issue metrics,https://github.com/marketplace/actions/issue-metrics,11,['issue-metrics'],"['github', 'action', 'report', 'issue', 'metrics']",['issue-metrics'],"['github', 'action', 'report', 'issue', 'metrics']"
Check links with linkcheck,Blazing fast localhost crawling via the linkcheck tool.,https://github.com/marketplace/actions/check-links-with-linkcheck,11,"['check', 'links', 'linkcheck']","['blazing', 'fast', 'localhost', 'crawling', 'via', 'linkcheck', 'tool']","['check', 'links', 'linkcheck']","['blazing', 'fast', 'localhost', 'crawling', 'via', 'linkcheck', 'tool']"
Create .env file,GitHub Action to create a .env file with GitHub Secrets,https://github.com/marketplace/actions/create-env-file,11,"['create', 'env', 'file']","['github', 'action', 'create', 'env', 'file', 'github', 'secrets']","['create', 'env', 'file']","['github', 'action', 'create', 'env', 'file', 'github', 'secrets']"
Flat Data,The GitHub action which powers data fetching for Flat,https://github.com/marketplace/actions/flat-data,11,"['flat', 'data']","['github', 'action', 'powers', 'data', 'fetching', 'flat']","['flat', 'data']","['github', 'action', 'powers', 'data', 'fetching', 'flat']"
Debugging with ssh,Debug your GitHub Actions Environment interactively by using SSH,https://github.com/marketplace/actions/debugging-with-ssh,11,"['debugging', 'ssh']","['debug', 'github', 'actions', 'environment', 'interactively', 'using', 'ssh']","['debugging', 'ssh']","['debug', 'github', 'actions', 'environment', 'interactively', 'using', 'ssh']"
Free Disk Space (Ubuntu),A configurable GitHub Action to free up disk space on an Ubuntu GitHub Actions runner,https://github.com/marketplace/actions/free-disk-space-ubuntu,11,"['free', 'disk', 'space', 'ubuntu']","['configurable', 'github', 'action', 'free', 'disk', 'space', 'ubuntu', 'github', 'actions', 'runner']","['free', 'disk', 'space', 'ubuntu']","['configurable', 'github', 'action', 'free', 'disk', 'space', 'ubuntu', 'github', 'actions', 'runner']"
Auto Approve,Automatically approve pull requests,https://github.com/marketplace/actions/auto-approve,11,"['auto', 'approve']","['automatically', 'approve', 'pull', 'requests']","['auto', 'approve']","['automatically', 'approve', 'pull', 'requests']"
Docker Layer Caching,Cache images created between main run and post run,https://github.com/marketplace/actions/docker-layer-caching,11,"['docker', 'layer', 'caching']","['cache', 'images', 'created', 'main', 'run', 'post', 'run']","['docker', 'layer', 'caching']","['cache', 'images', 'created', 'main', 'run', 'post', 'run']"
branch-deploy,Enabling Branch Deployments through IssueOps with GitHub Actions,https://github.com/marketplace/actions/branch-deploy,11,['branch-deploy'],"['enabling', 'branch', 'deployments', 'issueops', 'github', 'actions']",['branch-deploy'],"['enabling', 'branch', 'deployments', 'issueops', 'github', 'actions']"
Magic Nix Cache,"Free, no-configuration Nix cache. Cut CI time by 50% or more by caching to GitHub Actions cache",https://github.com/marketplace/actions/magic-nix-cache,12,"['magic', 'nix', 'cache']","['free', 'no-configuration', 'nix', 'cache', 'cut', 'ci', 'time', '50', 'caching', 'github', 'actions', 'cache']","['magic', 'nix', 'cache']","['free', 'no-configuration', 'nix', 'cache', 'cut', 'ci', 'time', '50', 'caching', 'github', 'actions', 'cache']"
AWS Lambda Deploy,Deploying Lambda code to an existing function,https://github.com/marketplace/actions/aws-lambda-deploy,12,"['aws', 'lambda', 'deploy']","['deploying', 'lambda', 'code', 'existing', 'function']","['aws', 'lambda', 'deploy']","['deploying', 'lambda', 'code', 'existing', 'function']"
markdown-link-check,Check if all links are valid in markdown files,https://github.com/marketplace/actions/markdown-link-check,12,['markdown-link-check'],"['check', 'links', 'valid', 'markdown', 'files']",['markdown-link-check'],"['check', 'links', 'valid', 'markdown', 'files']"
Setup Miniconda,Set up Conda package and environment manager with Miniconda,https://github.com/marketplace/actions/setup-miniconda,12,"['setup', 'miniconda']","['set', 'conda', 'package', 'environment', 'manager', 'miniconda']","['setup', 'miniconda']","['set', 'conda', 'package', 'environment', 'manager', 'miniconda']"
Actions for Discord,Outputs a message to Discord,https://github.com/marketplace/actions/actions-for-discord,12,"['actions', 'discord']","['outputs', 'message', 'discord']","['actions', 'discord']","['outputs', 'message', 'discord']"
Authz0 scanner,Unauthorized access can be identified based on URLs and Roles Credentials,https://github.com/marketplace/actions/authz0-scanner,12,"['authz0', 'scanner']","['unauthorized', 'access', 'identified', 'based', 'urls', 'roles', 'credentials']","['authz0', 'scanner']","['unauthorized', 'access', 'identified', 'based', 'urls', 'roles', 'credentials']"
TestForest Dashboard,Display test results summary in a GitHub Actions workflow,https://github.com/marketplace/actions/testforest-dashboard,12,"['testforest', 'dashboard']","['display', 'test', 'results', 'summary', 'github', 'actions', 'workflow']","['testforest', 'dashboard']","['display', 'test', 'results', 'summary', 'github', 'actions', 'workflow']"
Maximize build disk space,Maximize the available disk space for your build job,https://github.com/marketplace/actions/maximize-build-disk-space,12,"['maximize', 'build', 'disk', 'space']","['maximize', 'available', 'disk', 'space', 'build', 'job']","['maximize', 'build', 'disk', 'space']","['maximize', 'available', 'disk', 'space', 'build', 'job']"
Github Sync,⤵️ Sync current repository with remote,https://github.com/marketplace/actions/github-sync,12,"['github', 'sync']","['⤵️', 'sync', 'current', 'repository', 'remote']","['github', 'sync']","['⤵️', 'sync', 'current', 'repository', 'remote']"
Fork Sync,Keep your fork up to date,https://github.com/marketplace/actions/fork-sync,12,"['fork', 'sync']","['keep', 'fork', 'date']","['fork', 'sync']","['keep', 'fork', 'date']"
setup-beam,"Set up a BEAM-based CI environment, supporting languages and tools such as Erlang/OTP, Elixir, Gleam, rebar3, and hex.",https://github.com/marketplace/actions/setup-beam,12,['setup-beam'],"['set', 'beam-based', 'ci', 'environment', 'supporting', 'languages', 'tools', 'erlang/otp', 'elixir', 'gleam', 'rebar3', 'hex']",['setup-beam'],"['set', 'beam-based', 'ci', 'environment', 'supporting', 'languages', 'tools', 'erlang/otp', 'elixir', 'gleam', 'rebar3', 'hex']"
Firebase App Distribution,GitHub Action that uploads artifacts to Firebase App Distribution,https://github.com/marketplace/actions/firebase-app-distribution,12,"['firebase', 'app', 'distribution']","['github', 'action', 'uploads', 'artifacts', 'firebase', 'app', 'distribution']","['firebase', 'app', 'distribution']","['github', 'action', 'uploads', 'artifacts', 'firebase', 'app', 'distribution']"
GitHub Deployments,GitHub action for working painlessly with deployment statuses,https://github.com/marketplace/actions/github-deployments,12,"['github', 'deployments']","['github', 'action', 'working', 'painlessly', 'deployment', 'statuses']","['github', 'deployments']","['github', 'action', 'working', 'painlessly', 'deployment', 'statuses']"
GitHub API Request,Send arbitrary requests to GitHub s REST API,https://github.com/marketplace/actions/github-api-request,12,"['github', 'api', 'request']","['send', 'arbitrary', 'requests', 'github', 'rest', 'api']","['github', 'api', 'request']","['send', 'arbitrary', 'requests', 'github', 'rest', 'api']"
Rust Release binary,Automate publishing Rust build artifacts for GitHub releases through GitHub Actions,https://github.com/marketplace/actions/rust-release-binary,12,"['rust', 'release', 'binary']","['automate', 'publishing', 'rust', 'build', 'artifacts', 'github', 'releases', 'github', 'actions']","['rust', 'release', 'binary']","['automate', 'publishing', 'rust', 'build', 'artifacts', 'github', 'releases', 'github', 'actions']"
Rsync Deployments Action,GitHub Action for deploying code via rsync over ssh,https://github.com/marketplace/actions/rsync-deployments-action,12,"['rsync', 'deployments', 'action']","['github', 'action', 'deploying', 'code', 'via', 'rsync', 'ssh']","['rsync', 'deployments', 'action']","['github', 'action', 'deploying', 'code', 'via', 'rsync', 'ssh']"
Luacheck,Luacheck,https://github.com/marketplace/actions/luacheck,12,['luacheck'],['luacheck'],['luacheck'],['luacheck']
GitHub Action for SwiftLint,A tool to enforce Swift style and conventions,https://github.com/marketplace/actions/github-action-for-swiftlint,12,"['github', 'action', 'swiftlint']","['tool', 'enforce', 'swift', 'style', 'conventions']","['github', 'action', 'swiftlint']","['tool', 'enforce', 'swift', 'style', 'conventions']"
Readme Update,Workflow for displaying recent in your readme,https://github.com/marketplace/actions/readme-update,12,"['readme', 'update']","['workflow', 'displaying', 'recent', 'readme']","['readme', 'update']","['workflow', 'displaying', 'recent', 'readme']"
Sign Android release,An action to sign an Android release APK or AAB,https://github.com/marketplace/actions/sign-android-release,12,"['sign', 'android', 'release']","['action', 'sign', 'android', 'release', 'apk', 'aab']","['sign', 'android', 'release']","['action', 'sign', 'android', 'release', 'apk', 'aab']"
Pull Request Stats,Github action to print relevant stats about Pull Request reviewers,https://github.com/marketplace/actions/pull-request-stats,13,"['pull', 'request', 'stats']","['github', 'action', 'print', 'relevant', 'stats', 'pull', 'request', 'reviewers']","['pull', 'request', 'stats']","['github', 'action', 'print', 'relevant', 'stats', 'pull', 'request', 'reviewers']"
Issues Helper,A GitHub Action that easily helps you automatically manage issues,https://github.com/marketplace/actions/issues-helper,13,"['issues', 'helper']","['github', 'action', 'easily', 'helps', 'automatically', 'manage', 'issues']","['issues', 'helper']","['github', 'action', 'easily', 'helps', 'automatically', 'manage', 'issues']"
Publish Native Installers,Publish jDeploy Bundles on Github or npm,https://github.com/marketplace/actions/publish-native-installers,13,"['publish', 'native', 'installers']","['publish', 'jdeploy', 'bundles', 'github', 'npm']","['publish', 'native', 'installers']","['publish', 'jdeploy', 'bundles', 'github', 'npm']"
xcresulttool,generates a human-readable test report from the Xcode result bundle and shows it on GitHub Checks,https://github.com/marketplace/actions/xcresulttool,13,['xcresulttool'],"['generates', 'human-readable', 'test', 'report', 'xcode', 'result', 'bundle', 'shows', 'github', 'checks']",['xcresulttool'],"['generates', 'human-readable', 'test', 'report', 'xcode', 'result', 'bundle', 'shows', 'github', 'checks']"
Dev Container Build and Run Action,Action to simplify using Dev Containers (https://containers.dev) in GitHub workflows,https://github.com/marketplace/actions/dev-container-build-and-run-action,13,"['dev', 'container', 'build', 'run', 'action']","['action', 'simplify', 'using', 'dev', 'containers', 'https', 'containers.dev', 'github', 'workflows']","['dev', 'container', 'build', 'run', 'action']","['action', 'simplify', 'using', 'dev', 'containers', 'https', 'containers.dev', 'github', 'workflows']"
Deploy Ghost Theme,Build deploy a theme to your Ghost site,https://github.com/marketplace/actions/deploy-ghost-theme,13,"['deploy', 'ghost', 'theme']","['build', 'deploy', 'theme', 'ghost', 'site']","['deploy', 'ghost', 'theme']","['build', 'deploy', 'theme', 'ghost', 'site']"
Delete Package Versions,Deletes package versions,https://github.com/marketplace/actions/delete-package-versions,13,"['delete', 'package', 'versions']","['deletes', 'package', 'versions']","['delete', 'package', 'versions']","['deletes', 'package', 'versions']"
Git Semantic Version,Determines version of a repo based on git history,https://github.com/marketplace/actions/git-semantic-version,13,"['git', 'semantic', 'version']","['determines', 'version', 'repo', 'based', 'git', 'history']","['git', 'semantic', 'version']","['determines', 'version', 'repo', 'based', 'git', 'history']"
Gitleaks,run gitleaks on push and pull-request events,https://github.com/marketplace/actions/gitleaks,13,['gitleaks'],"['run', 'gitleaks', 'push', 'pull-request', 'events']",['gitleaks'],"['run', 'gitleaks', 'push', 'pull-request', 'events']"
Enable Developer Command Prompt,Configure Microsoft Visual C++ command line,https://github.com/marketplace/actions/enable-developer-command-prompt,13,"['enable', 'developer', 'command', 'prompt']","['configure', 'microsoft', 'visual', 'c', 'command', 'line']","['enable', 'developer', 'command', 'prompt']","['configure', 'microsoft', 'visual', 'c', 'command', 'line']"
Logseq Publish,Publish your Logseq Graph,https://github.com/marketplace/actions/logseq-publish,13,"['logseq', 'publish']","['publish', 'logseq', 'graph']","['logseq', 'publish']","['publish', 'logseq', 'graph']"
Deploy to Deno Deploy,"Deploy your applications to Deno Deploy, right from GitHub Actions",https://github.com/marketplace/actions/deploy-to-deno-deploy,13,"['deploy', 'deno', 'deploy']","['deploy', 'applications', 'deno', 'deploy', 'right', 'github', 'actions']","['deploy', 'deno', 'deploy']","['deploy', 'applications', 'deno', 'deploy', 'right', 'github', 'actions']"
Upload GitHub Pages artifact,A composite action that prepares your static assets to be deployed to GitHub Pages,https://github.com/marketplace/actions/upload-github-pages-artifact,13,"['upload', 'github', 'pages', 'artifact']","['composite', 'action', 'prepares', 'static', 'assets', 'deployed', 'github', 'pages']","['upload', 'github', 'pages', 'artifact']","['composite', 'action', 'prepares', 'static', 'assets', 'deployed', 'github', 'pages']"
Pull Request size labeler,Label a PR based on the amount of changes,https://github.com/marketplace/actions/pull-request-size-labeler,13,"['pull', 'request', 'size', 'labeler']","['label', 'pr', 'based', 'amount', 'changes']","['pull', 'request', 'size', 'labeler']","['label', 'pr', 'based', 'amount', 'changes']"
setup-msbuild,Helps set up MSBuild into PATH for later usage,https://github.com/marketplace/actions/setup-msbuild,13,['setup-msbuild'],"['helps', 'set', 'msbuild', 'path', 'later', 'usage']",['setup-msbuild'],"['helps', 'set', 'msbuild', 'path', 'later', 'usage']"
Wait on check,Wait on a certain check to pass for commit,https://github.com/marketplace/actions/wait-on-check,13,"['wait', 'check']","['wait', 'certain', 'check', 'pass', 'commit']","['wait', 'check']","['wait', 'certain', 'check', 'pass', 'commit']"
Code Review with ChatGPT,Automating code review using ChatGPT with Github Actions integration on PRs for code explanations,https://github.com/marketplace/actions/code-review-with-chatgpt,13,"['code', 'review', 'chatgpt']","['automating', 'code', 'review', 'using', 'chatgpt', 'github', 'actions', 'integration', 'prs', 'code', 'explanations']","['code', 'review', 'chatgpt']","['automating', 'code', 'review', 'using', 'chatgpt', 'github', 'actions', 'integration', 'prs', 'code', 'explanations']"
Comment Pull Request,Comments a pull request with the provided message,https://github.com/marketplace/actions/comment-pull-request,13,"['comment', 'pull', 'request']","['comments', 'pull', 'request', 'provided', 'message']","['comment', 'pull', 'request']","['comments', 'pull', 'request', 'provided', 'message']"
Remove artifacts,,https://github.com/marketplace/actions/remove-artifacts,13,"['remove', 'artifacts']",[],"['remove', 'artifacts']",[]
Github Pull Request,⤵️ Create pull request,https://github.com/marketplace/actions/github-pull-request,13,"['github', 'pull', 'request']","['⤵️', 'create', 'pull', 'request']","['github', 'pull', 'request']","['⤵️', 'create', 'pull', 'request']"
Jekyll Deploy Action,🪂 A Github Action to deploy the Jekyll site conveniently for GitHub Pages,https://github.com/marketplace/actions/jekyll-deploy-action,14,"['jekyll', 'deploy', 'action']","['🪂', 'github', 'action', 'deploy', 'jekyll', 'site', 'conveniently', 'github', 'pages']","['jekyll', 'deploy', 'action']","['🪂', 'github', 'action', 'deploy', 'jekyll', 'site', 'conveniently', 'github', 'pages']"
JUnit Report Action,Report JUnit test results as annotations on Github Pull Request [junit],https://github.com/marketplace/actions/junit-report-action,14,"['junit', 'report', 'action']","['report', 'junit', 'test', 'results', 'annotations', 'github', 'pull', 'request', 'junit']","['junit', 'report', 'action']","['report', 'junit', 'test', 'results', 'annotations', 'github', 'pull', 'request', 'junit']"
Build docker images using cache,Use registry to pull/push cache for an image (stages included),https://github.com/marketplace/actions/build-docker-images-using-cache,14,"['build', 'docker', 'images', 'using', 'cache']","['use', 'registry', 'pull/push', 'cache', 'image', 'stages', 'included']","['build', 'docker', 'images', 'using', 'cache']","['use', 'registry', 'pull/push', 'cache', 'image', 'stages', 'included']"
Lighthouse Audit,Run tests on a webpage via Google s Lighthouse tool,https://github.com/marketplace/actions/lighthouse-audit,14,"['lighthouse', 'audit']","['run', 'tests', 'webpage', 'via', 'google', 'lighthouse', 'tool']","['lighthouse', 'audit']","['run', 'tests', 'webpage', 'via', 'google', 'lighthouse', 'tool']"
Docker Hub Description,An action to update a Docker Hub repository description from README.md,https://github.com/marketplace/actions/docker-hub-description,14,"['docker', 'hub', 'description']","['action', 'update', 'docker', 'hub', 'repository', 'description', 'readme.md']","['docker', 'hub', 'description']","['action', 'update', 'docker', 'hub', 'repository', 'description', 'readme.md']"
Azure Login,Authenticate to Azure and run your Azure CLI or Azure PowerShell based actions or scripts,https://github.com/marketplace/actions/azure-login,14,"['azure', 'login']","['authenticate', 'azure', 'run', 'azure', 'cli', 'azure', 'powershell', 'based', 'actions', 'scripts']","['azure', 'login']","['authenticate', 'azure', 'run', 'azure', 'cli', 'azure', 'powershell', 'based', 'actions', 'scripts']"
